"Ticker","Nome","Negócios","Última (R$)","Variação"
"HOOT4","Hotéis Othon","5.000","4,09","-2,39%"
"MOAR3","Monteiro Aranha","4.900","86,00","-28,33%"
"NUTR3","Nutriplant","4.900","3,00","-0,33%"
"DOTZ3","Dotz","4.400","7,15","+0,99%"
"TASA3","Taurus","4.200","5,41","+1,12%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","3.900","2,37","+1,28%"
"BPAC5","Banco BTG Pactual","3.700","10,60","-1,76%"
"PTNT4","Pettenati","3.700","4,77","+0,00%"
"CEEB3","COELBA","3.600","36,65","+0,25%"
"BSLI4","Banco de Brasília","3.600","9,16","+0,55%"
"AMAR11","Lojas Marisa","3.500","0,20","+0,00%"
"BPAC3","Banco BTG Pactual","3.300","26,82","+1,21%"
"PTNT3","Pettenati","3.300","7,44","+3,05%"
"OFSA3","Ourofino Saúde Animal","3.200","22,04","+0,18%"
"DEXP4","Dexxos","3.000","8,09","+1,12%"
"BAZA3","Banco da Amazônia","2.900","74,17","-0,07%"
"WLMM4","WLM","2.900","20,24","+1,20%"
"ALUP3","Alupar","2.700","11,23","-2,26%"
"PINE3","Banco Pine","2.700","8,25","+0,00%"
"ISAE3","ISA Energia","2.600","31,06","-0,29%"
"BGIP4","Banese","2.600","26,21","+0,04%"
"WHRL3","Whirlpool","2.600","4,54","+0,00%"
"EUCA3","Eucatex","2.400","21,05","-4,27%"
"DOHL4","Döhler","2.400","3,99","+0,00%"
"ENGI3","Energisa","2.200","13,31","+1,22%"
"MERC4","Mercantil do Brasil Financeira","2.100","13,40","+8,94%"
"AVLL3","Alphaville","1.900","1,63","+0,62%"
"PPLA11","PPLA","1.854","0,89","+4,71%"
"CGRA3","Grazziotin","1.800","30,00","+0,07%"
"TELB4","Telebras","1.600","8,98","-0,22%"
"RSID3","Rossi Residencial","1.500","1,70","+1,80%"
"UNIP5","Unipar","1.300","68,31","-5,12%"
"MNPR3","Minupar","1.300","39,99","+1,24%"
"EALT3","Electro Aço Altona","1.300","12,30","-1,60%"
"NORD3","Nordon","1.300","4,88","-9,63%"
"INEP3","Inepar","1.300","1,49","+1,36%"
"BOBR4","Bombril","1.300","1,37","-0,72%"
"BEES4","Banestes","1.200","8,25","+0,24%"
"PEAB4","Participações Aliança da Bahia","1.000","36,00","+0,61%"
"BDLL4","Bardella","1.000","7,40","+7,25%"
"DTCY3","Dtcom","1.000","2,70","-5,26%"
"NEXP3","Brasil Brokers","800","3,58","+5,60%"
"MTSA4","Metisa","700","44,29","-0,65%"
"CEBR5","CEB","700","22,97","-0,13%"
"REDE3","Rede Energia","700","6,39","+1,11%"
"VSTE3","LE LIS BLANC","700","5,21","-0,57%"
"PLAS3","Plascar","700","4,40","-10,20%"
"BNBR3","Banco do Nordeste","600","103,00","+1,98%"
"RSUL4","Metalúrgica Riosulense","600","64,66","+0,28%"
"BSLI3","Banco de Brasília","600","9,09","-1,73%"
"RVEE3","REVEE S.A.","600","8,00","-12,57%"
"RVEE3","REVEE","600","8,00","-12,57%"
"PEAB3","Participações Aliança da Bahia","500","35,50","-4,83%"
"CBEE3","Ampla Energia","300","10,39","-3,80%"
"MGEL4","Mangels","300","6,30","+0,00%"
"CGAS5","Comgás","200","128,00","-0,54%"
"CLSC3","Celesc","200","100,77","+2,83%"
"BMEB3","Banco Mercantil do Brasil","200","44,90","-0,22%"
"GEPA4","Rio Paranapanema Energia","200","35,01","-1,38%"
"BALM3","Baumer","200","21,99","+3,09%"
"CTSA4","Santanense","200","2,45","+0,00%"
"JFEN3","João Fortes","200","1,66","-1,19%"
"CGAS3","Comgás","100","124,00","+0,00%"
"EKTR4","Elektro","100","45,23","-0,66%"
"BGIP3","Banese","100","31,00","-1,62%"
"BMIN4","Banco Mercantil de Investimentos","100","16,90","-0,71%"
"CPLE5","Copel","100","13,10","+0,00%"
"TELB3","Telebras","100","10,99","+0,37%"
"REAG3","REAG3","100","2,41","-2,43%"
"HAGA3","Haga","100","1,81","-1,63%"
"BMKS3","Monark","15","425,76","+1,37%"
"MNDL3","Mundial","3.000","18,00","-6,25%"
"BIED3","BIED3","2.200","3,18","-0,62%"
"GEPA3","Rio Paranapanema Energia","600","35,99","+6,17%"
"CCTY3","RDVC CITY","500","26,94","+0,00%"
"CCTY3","REDVECO PROPERTIES S.A","500","26,94","+0,00%"
"CTKA4","Karsten","300","35,00","+2,94%"
"BIOM11","Biomm","300","3,50","+0,00%"
"CEDO3","Cedro Têxtil","200","15,01","+0,07%"
"CEDO4","Cedro Têxtil","200","12,00","-5,88%"
"BRKM6","Braskem","200","8,50","+6,65%"
"PATI3","Panatlântica","100","46,87","-0,28%"
"PATI4","Panatlântica","100","38,87","+0,00%"
"SNSY3","Sansuy","100","11,90","+8,18%"
